"<strong>vorbereiten</strong> <br><br> <span style='font-size:75%'>vorbereiten (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [für <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>] <strong class=""tilde"">vorbereiten
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> [auf <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>] <strong class=""tilde"">vorbereiten
</strong>               </span></span>"	"To prepare in advance (a day or many hours before)<br><br> <span style='font-size:75%'>Automated translations:<br>• to prepare <acronym title=""somebody"">sb</acronym> [for <acronym title=""something"">sth</acronym>]<br>• to prepare <acronym title=""something"">sth</acronym> [for <acronym title=""something"">sth</acronym>]</span>"
"<strong>zubereiten</strong> <br><br> <span style='font-size:75%'>zubereiten (transitive verb) <br>• <span class=""full_collocation"">einen Cocktail <strong class=""tilde"">zubereiten
</strong>               </span><br>• <span class=""grammatical_construction"">[<acronym title=""jemandem"">jdm</acronym>] <acronym title=""etwas"">etw</acronym> <strong class=""tilde"">zubereiten
</strong>               </span></span>"	"to prepare immediately before something<br><br> <span style='font-size:75%'>Automated translations:<br>• to prepare <acronym title=""something"">sth</acronym> [for <acronym title=""somebody"">sb</acronym>]<br>• to mix a cocktail</span>"
Hintergrundschirm	background
"<strong>Zutat, Zutaten</strong> <br><br> <span style='font-size:75%'>Zutat (noun) <br>• <span class=""full_collocation"">ohne schmückende <strong class=""tilde"">Zutaten</strong></span><br>• <strong class=""headword"">Zutat</strong></span>"	"ingredient<br><br> <span style='font-size:75%'>Automated translations:<br>• addition<br>• without any decorative trimmings<br>• ingredients <span class=""info""><acronym title=""plural"">pl</acronym></span><br>• necessaries <span class=""info""><acronym title=""plural"">pl</acronym></span></span>"
"<strong>Nudelholz</strong> <br><br> <span style='font-size:75%'>Nudelholz (noun) <br>• <strong class=""headword"">Nudelholz</strong></span>"	rolling pin<br><br> <span style='font-size:75%'>Automated translations:<br>• rolling pin</span>
"<strong>den Teig ausrollen</strong> <br><br> <span style='font-size:75%'>ausrollen () <br>• <strong class=""headword"">ausrollen</strong></span>"	to roll out the dough<br><br> <span style='font-size:75%'>Automated translations:<br>• coast down</span>
"<strong>Plätzchen</strong> <br><br> <span style='font-size:75%'>Plätzchen (noun) <br>• <strong class=""headword"">Plätzchen</strong></span>"	Cookies<br><br> <span style='font-size:75%'>Automated translations:<br>• spot</span>
"<strong>Bericht</strong> <br><br> <span style='font-size:75%'>Bericht (noun) <br>• <span class=""full_collocation"">[<acronym title=""jemandem"">jdm</acronym>] [über <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>] <strong class=""tilde"">Bericht</strong> erstatten</span> <span class=""style""><acronym title=""formal language"">form</acronym></span><br>• <strong class=""headword"">Bericht</strong> <span class=""sense"">(Zeitungsbericht <acronym title=""auch"">a.</acronym>)</span> <span class=""object-case"">+<acronym title=""genitive"">gen</acronym></span><br>• <span class=""full_collocation"">amtlicher <strong class=""tilde"">Bericht
</strong>               </span><br>• <strong class=""headword"">Bericht</strong><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Bericht</strong> vom Tage</span></span>"	"report<br><br> <span style='font-size:75%'>Automated translations:<br>• article <span class=""complement"">by</span><br>• to report [to <acronym title=""somebody"">sb</acronym>] on <acronym title=""something"">sth</acronym> <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> to <acronym title=""somebody"">sb</acronym> [on <acronym title=""something"">sth</acronym>]]</span><br>• official report<br>• to give [<acronym title=""somebody"">sb</acronym>] a report [on <acronym title=""something"">sth</acronym>]<br>• communiqué<br>• news report<br>• report</span>"
Abschiedsgeschenk	Farewell gift
"<strong>Geschenk</strong> <br><br> <span style='font-size:75%'>Geschenk (noun) <br>• <strong class=""headword"">Geschenk</strong><br>• <span class=""idiom_proverb"">ein <strong class=""tilde"">Geschenk</strong> des Himmels sein</span> <span class=""sense"">(eine Rettung sein)</span><br>• <span class=""idiom_proverb"">ein <strong class=""tilde"">Geschenk</strong> des Himmels sein</span><br>• <span class=""full_collocation""><acronym title=""jemandem"">jdm</acronym> <acronym title=""etwas"">etw</acronym> zum <strong class=""tilde"">Geschenk</strong> machen</span><br>• <span class=""idiom_proverb"">kleine <strong class=""tilde"">Geschenke</strong> erhalten die Freundschaft</span> <span class=""rhetoric""><acronym title=""proverb"">prov</acronym></span><br>• <span class=""full_collocation""><acronym title=""jemandem"">jdm</acronym> ein <strong class=""tilde"">Geschenk</strong> machen</span></span>"	"gift<br><br> <span style='font-size:75%'>Automated translations:<br>• small gifts help keep a friendship alive<br>• gift<br>• to make <acronym title=""somebody"">sb</acronym> a present  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> gift]</span>  of <acronym title=""something"">sth</acronym><br>• to give <acronym title=""somebody"">sb</acronym> a present <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> gift]</span><br>• to be heaven sent<br>• to be a godsend<br>• present<br>• to give <acronym title=""somebody"">sb</acronym> <acronym title=""something"">sth</acronym> as a present <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> gift]</span></span>"
Abschiedsparty	farewell party
begrüßtig	convenient
Abschussbericht	final report
"<strong>überfliegen</strong> <br><br> <span style='font-size:75%'>überfliegen (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">überfliegen
					</strong>       </span> <span class=""sense"">(Text <acronym title=""auch"">a.</acronym>)</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">überfliegen
					</strong>       </span></span>"	"to skim<br><br> <span style='font-size:75%'>Automated translations:<br>• to skim through <acronym title=""something"">sth</acronym><br>• to take a quick look  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> glance]</span>  at <acronym title=""something"">sth</acronym><br>• to fly over  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
							           <span class=""restriction""><acronym title=""rare"">rare</acronym></span> overfly]</span>  <acronym title=""something"">sth</acronym></span>"
"<strong>Dozent</strong> <br><br> <span style='font-size:75%'>Dozent (noun) <br>• <strong class=""headword"">Dozent</strong><span class=""feminine"">(in)</span><br>• <span class=""grammatical_construction"">
               <strong class=""tilde"">Dozent</strong> für <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> sein</span></span>"	"lecturer<br><br> <span style='font-size:75%'>Automated translations:<br>• instructor<br>• to be a teacher of <acronym title=""something"">sth</acronym><br>• teacher<br>• lecturer</span>"
"<strong>Vorlesung</strong> <br><br> <span style='font-size:75%'>Vorlesung (noun) <br>• <span class=""full_collocation"">eine <strong class=""tilde"">Vorlesung</strong>/<strong class=""tilde"">Vorlesungen</strong> [über <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>] halten</span><br>• <strong class=""headword"">Vorlesung</strong></span>"	"lecture (only in university context)<br><br> <span style='font-size:75%'>Automated translations:<br>• to give  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> deliver]</span>  a lecture/course  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> series]</span>  of lectures [on <acronym title=""something"">sth</acronym>]<br>• lecture</span>"
"<strong>Voraussetzungen</strong> <br><br> <span style='font-size:75%'>Voraussetzung (noun) <br>• <strong class=""headword"">Voraussetzung</strong><br>• <span class=""example"">der Schluss beruht auf der irrigen <strong class=""tilde"">Voraussetzung</strong>, dass noch genügend Rohstoffe vorhanden sind</span><br>• <span class=""full_collocation"">unter der <strong class=""tilde"">Voraussetzung</strong>, dass ...</span><br>• <span class=""full_collocation"">unter bestimmten <strong class=""tilde"">Voraussetzungen</strong></span><br>• <span class=""full_collocation"">von falschen <strong class=""tilde"">Voraussetzungen</strong> ausgehen</span><br>• <span class=""example"">er hat für diesen Job nicht die richtigen <strong class=""tilde"">Voraussetzungen</strong></span></span>"	requirements<br><br> <span style='font-size:75%'>Automated translations:<br>• he hasn&#39;t got the right qualifications for this job<br>• precondition<br>• this conclusion is based on the false assumption that there are enough available raw materials<br>• assumption<br>• to begin with a false assumption<br>• prerequisite<br>• premise<br>• on condition that ...<br>• under certain conditions</span>
"<strong>Tippfehler</strong> <br><br> <span style='font-size:75%'>Tippfehler (noun) <br>• <strong class=""headword"">Tippfehler</strong></span>"	"typo<br><br> <span style='font-size:75%'>Automated translations:<br>• typing mistake <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> error]</span></span>"
"<strong>Unterkunft</strong> <br><br> <span style='font-size:75%'>Unterkunft (noun) <br>• <strong class=""headword"">Unterkunft</strong> <span class=""sense"">(privat)</span><br>• <span class=""example"">die Soldaten kehrten in ihre Unterkünfte zurück</span><br>• <strong class=""headword"">Unterkunft</strong><br>• <strong class=""headword"">Unterkunft</strong> <span class=""sense"">(Kaserne)</span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">Unterkunft</strong> mit Frühstück</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">Unterkunft</strong> suchen</span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">Unterkunft</strong> und Verpflegung</span></span>"	"accommodation<br><br> <span style='font-size:75%'>Automated translations:<br>• the soldiers returned to their billets <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> quarters]</span><br>• accommodation<br>• to look for accommodation<br>• board and lodging<br>• quarters <span class=""info""><acronym title=""plural noun"">npl</acronym></span><br>• billet<br>• bed and breakfast</span>"
"<strong>Veranstaltung</strong> <br><br> <span style='font-size:75%'>Veranstaltung (noun) <br>• <strong class=""headword"">Veranstaltung</strong> <span class=""collocator"">öffentliches Ereignis</span><br>• <strong class=""headword"">Veranstaltung</strong> <span class=""collocator"">Feier</span><br>• <strong class=""headword"">Veranstaltung</strong></span>"	event<br><br> <span style='font-size:75%'>Automated translations:<br>• organizing<br>• event<br>• giving<br>• staging<br>• throwing<br>• organization</span>
Begrüßungsritual	Welcoming ritual/Orientation
Unterrichtsstil	teaching style
"<strong>durchlesen</strong> <br><br> <span style='font-size:75%'>durchlesen (transitive verb) <br>• <span class=""grammatical_construction"">[sich <span class=""case""><acronym title=""dative"">dat</acronym></span>] <acronym title=""etwas"">etw</acronym> [genau] <strong class=""tilde"">durchlesen
</strong>               </span><br>• <span class=""full_collocation"">[sich <span class=""case""><acronym title=""dative"">dat</acronym></span>] ein Manuskript auf Fehler hin <strong class=""tilde"">durchlesen
</strong>               </span></span>"	"to read carefully<br><br> <span style='font-size:75%'>Automated translations:<br>• to read through  <span class=""info""><acronym title=""separable"">sep</acronym></span>  a manuscript for errors<br>• to proofread a manuscript<br>• to read through <acronym title=""something"">sth</acronym>  <span class=""info""><acronym title=""separable"">sep</acronym></span>  [carefully]</span>"
"<strong>mündlicher</strong> <br><br> <span style='font-size:75%'>mündlich (adjective and adverb) <br>• <strong class=""headword"">mündlich</strong><br>• <span class=""example"">diese Tradition ist durch <strong class=""tilde"">mündliche</strong> Überlieferung auf uns übergegangen</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">mündliche</strong> Besprechung</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">mündliche</strong> Abmachung/Übereinkunft/Vereinbarung</span><br>• <span class=""grammatical_construction"">das <strong class=""tilde"">Mündliche</strong></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">mündliche</strong> Prüfung</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">mündliche</strong> Verhandlung</span> <span class=""topic""><acronym title=""law"">LAW</acronym></span></span>"	"oral<br><br> <span style='font-size:75%'>Automated translations:<br>• an oral examination<br>• a public meeting<br>• this tradition has been passed [down  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> on]</span>] to us by word of mouth<br>• a[n oral] hearing <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> trial]</span><br>• the oral examination<br>• oral<br>• a verbal agreement<br>• the oral <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• oral proceedings <span class=""info""><acronym title=""plural"">pl</acronym></span></span>"
"<strong>schriftlicher</strong> <br><br> <span style='font-size:75%'>schriftlich (adjective and adverb) <br>• <span class=""grammatical_construction"">etwas <strong class=""tilde"">Schriftliches</strong></span><br>• <span class=""grammatical_construction"">das <strong class=""tilde"">Schriftliche</strong></span><br>• <strong class=""headword"">schriftlich</strong></span>"	"written<br><br> <span style='font-size:75%'>Automated translations:<br>• something in writing<br>• the written exam <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> test]</span><br>• written</span>"
"<strong>übrigens</strong> <br><br> <span style='font-size:75%'>übrigens (adverb) <br>• <span class=""grammatical_construction"">[und] <strong class=""tilde"">übrigens
</strong>            </span><br>• <strong class=""headword"">übrigens</strong></span>"	by the way<br><br> <span style='font-size:75%'>Automated translations:<br>• [and] besides<br>• by the way<br>• incidentally</span>
"<strong>schrecklich</strong> <br><br> <span style='font-size:75%'>schrecklich (adjective and adverb) <br>• <span class=""grammatical_construction"">etwas <strong class=""tilde"">Schreckliches</strong></span><br>• <span class=""grammatical_construction"">
                  <strong class=""tilde"">schrecklich</strong> sein</span><br>• <span class=""example"">du bist <strong class=""tilde"">schrecklich!</strong></span><br>• <strong class=""headword"">schrecklich</strong></span>"	"horrible<br><br> <span style='font-size:75%'>Automated translations:<br>• you&#39;re terrible!<br>• something dreadful <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> terrible]</span><br>• terrible<br>• dreadful<br>• to be terrible</span>"
"<strong>Stolz</strong> <br><br> <span style='font-size:75%'>Stolz (noun) <br>• <strong class=""headword"">Stolz</strong><br>• <span class=""full_collocation""><acronym title=""jemandes"">jds</acronym> ganzer <strong class=""tilde"">Stolz</strong> sein</span> <span class=""collocator"">Sohn/Tochter <acronym title=""auch"">a.</acronym></span><br>• <span class=""full_collocation""><acronym title=""jemandes"">jds</acronym> ganzer <strong class=""tilde"">Stolz</strong> sein</span></span>"	"proud<br><br> <span style='font-size:75%'>Automated translations:<br>• to be <acronym title=""somebody's"">sb's</acronym> pride and joy<br>• to be the apple of <acronym title=""somebody's"">sb's</acronym> eye<br>• pride <span class=""info"">no <acronym title=""article"">art</acronym>, no <acronym title=""plural"">pl</acronym></span></span>"
"<strong>lügen, gelogen</strong> <br><br> <span style='font-size:75%'>lügen (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">lügen
</strong>               </span><br>• <span class=""idiom_proverb"">das Blaue vom Himmel <strong class=""tilde"">herunterlügen
</strong>               </span></span>"	"to lie<br><br> <span style='font-size:75%'>Automated translations:<br>• to make up <acronym title=""something"">sth</acronym> <span class=""info""><acronym title=""separable"">sep</acronym></span><br>• to charm the birds out of the trees</span>"
"<strong>vielfältig</strong> <br><br> <span style='font-size:75%'>vielfältig (adjective and adverb) <br>• <strong class=""headword"">vielfältig</strong></span>"	valuable<br><br> <span style='font-size:75%'>Automated translations:<br>• diverse<br>• varied</span>
